"fileName","cleanTitle","url","date","size","genre","rating"
"BloodRayne 2 (USA).zip","BloodRayne 2","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/BloodRayne%202%20%28USA%29.zip","28-Mar-2022 14:25","3.5 GiB","Action",7.6
"Breath of Fire - Dragon Quarter (USA).zip","Breath of Fire - Dragon Quarter","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Breath%20of%20Fire%20-%20Dragon%20Quarter%20%28USA%29.zip","29-Mar-2022 14:49","994.2 MiB","RPG",7.8
"Brothers in Arms - Earned in Blood (USA).zip","Brothers in Arms - Earned in Blood","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Brothers%20in%20Arms%20-%20Earned%20in%20Blood%20%28USA%29.zip","29-Mar-2022 16:47","1.8 GiB","Shooter",8.3
"Brothers in Arms - Road to Hill 30 (USA).zip","Brothers in Arms - Road to Hill 30","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Brothers%20in%20Arms%20-%20Road%20to%20Hill%2030%20%28USA%29.zip","28-Mar-2022 22:37","2.0 GiB","Shooter",8.5
"Bully (USA).zip","Bully","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Bully%20%28USA%29.zip","29-Mar-2022 00:11","2.3 GiB","Action",8.7
"Burnout 3 - Takedown (USA).zip","Burnout 3 - Takedown","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Burnout%203%20-%20Takedown%20%28USA%29.zip","29-Mar-2022 05:22","1.9 GiB","Racing",9.2
"Burnout Revenge (USA).zip","Burnout Revenge","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Burnout%20Revenge%20%28USA%29.zip","29-Mar-2022 03:40","1.8 GiB","Racing",8.8
"Call of Duty - Finest Hour (USA) (v1.04).zip","Call of Duty - Finest Hour","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Call%20of%20Duty%20-%20Finest%20Hour%20%28USA%29%20%28v1.04%29.zip","05-Apr-2022 20:42","1.5 GiB","Shooter",8.3
"Call of Duty 2 - Big Red One (USA) (Collector's Edition).zip","Call of Duty 2 - Big Red One","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Call%20of%20Duty%202%20-%20Big%20Red%20One%20%28USA%29%20%28Collector%27s%20Edition%29.zip","28-Mar-2022 17:01","2.6 GiB","Shooter",8.4
"Call of Duty 3 (USA).zip","Call of Duty 3","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Call%20of%20Duty%203%20%28USA%29.zip","28-Mar-2022 09:55","2.5 GiB","Shooter",8.1
"Castlevania - Curse of Darkness (USA).zip","Castlevania - Curse of Darkness","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Castlevania%20-%20Curse%20of%20Darkness%20%28USA%29.zip","29-Mar-2022 23:49","2.7 GiB","Action",8.1
"Castlevania - Lament of Innocence (USA).zip","Castlevania - Lament of Innocence","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Castlevania%20-%20Lament%20of%20Innocence%20%28USA%29.zip","30-Mar-2022 08:36","2.3 GiB","Action",8.3
"Champions - Return to Arms (USA) (v1.01).zip","Champions - Return to Arms","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Champions%20-%20Return%20to%20Arms%20%28USA%29%20%28v1.01%29.zip","28-Mar-2022 06:37","3.0 GiB","RPG",8.3
"Champions of Norrath (USA).zip","Champions of Norrath","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Champions%20of%20Norrath%20%28USA%29.zip","30-Mar-2022 08:40","6.6 GiB","RPG",8.5
"Chaos Legion (USA) (En,Ja,Fr,Es).zip","Chaos Legion","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Chaos%20Legion%20%28USA%29%20%28En%2CJa%2CFr%2CEs%29.zip","28-Mar-2022 23:36","1.8 GiB","Action",7.4
"Clock Tower 3 (USA).zip","Clock Tower 3","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Clock%20Tower%203%20%28USA%29.zip","29-Mar-2022 19:48","3.0 GiB","Adventure",7.5
"Cold Fear (USA) (En,Fr,Es).zip","Cold Fear","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Cold%20Fear%20%28USA%29%20%28En%2CFr%2CEs%29.zip","30-Mar-2022 05:30","2.7 GiB","Shooter",7.6
"Conflict - Desert Storm (USA).zip","Conflict - Desert Storm","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Conflict%20-%20Desert%20Storm%20%28USA%29.zip","29-Mar-2022 09:52","1.5 GiB","Sports",8.0
"Conflict - Desert Storm II (Europe) (En,Fr,De,Es,It).zip","Conflict - Desert Storm II","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Conflict%20-%20Desert%20Storm%20II%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip","29-Mar-2022 22:37","1.4 GiB","Sports",8.1
"Conflict - Global Terror (USA).zip","Conflict - Global Terror","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Conflict%20-%20Global%20Terror%20%28USA%29.zip","30-Mar-2022 00:01","1.6 GiB","Sports",7.5
"Conflict - Vietnam (USA).zip","Conflict - Vietnam","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Conflict%20-%20Vietnam%20%28USA%29.zip","29-Mar-2022 03:50","1.7 GiB","Sports",7.8
"Constantine (USA).zip","Constantine","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Constantine%20%28USA%29.zip","30-Mar-2022 09:16","1.9 GiB","Action",7.0
"Contra - Shattered Soldier (USA) (En,Fr,Es).zip","Contra - Shattered Soldier","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Contra%20-%20Shattered%20Soldier%20%28USA%29%20%28En%2CFr%2CEs%29.zip","29-Mar-2022 01:40","544.7 MiB","Action",7.8
